IP address,remote ssh version,country_code2,organization,asn
172.206.141.159,SSH-2.0-Go,US,Microsoft Corporation,
85.192.56.68,SSH-2.0-Go,RU,Aeza Group Ltd.,
92.255.85.107,SSH-2.0-Go,RU,Chang Way Technologies Co. Limited,
48.216.197.117,MGLNDD_15.188.246.148_22,US,Microsoft Corporation,
199.45.154.122,SSH-2.0-Go,HK,"Censys, Inc.",
198.235.24.242,SSH-2.0-ZGrab ZGrab SSH Survey,US,Google LLC,
46.77.89.195,SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u1,PL,Polkomtel Sp. z o.o.,
