IP address,remote ssh version,country_code2,organization,asn
212.193.31.196,SSH-2.0-Go,RU,Aeza Group LLC,
198.235.24.130,,US,Google LLC,
103.160.154.23,SSH-2.0-libssh_0.9.6,ID,PT Abhinawa Sumberdaya Asia,
