IP address,remote ssh version,country_code2,organization,asn
14.199.52.62,SSH-2.0-Go,HK,Hong Kong Broadband Network Ltd,
83.147.255.210,SSH-2.0-Go,RU,Aeza Group LLC,
93.7.154.174,SSH-2.0-Go,FR,Societe Francaise Du Radiotelephone - SFR SA,
